class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,596,,154,104,0,0,,,,,,,,,,,24800,0,134,0,0,0,70796,60172,20602,3128,0,0,0,0,24,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91564,28,30,20,0,24800,1350,10200,10292,,,,,,,,,19440,596.13,91564,91564,90380,159,172,8550,90420,58570,1209600,3292,0,18,0,42020.16,17.28,15467.52,0,34,,,,,,,,,,,6,10,91564,,,,,,,,,,,,134,312,41656,6544,0,222,0,0,43950,278,152,0,0,10,24,0,0,0,0,946,0,0,27108,6214,1916,358,3460,376,63934,66,0,0,0,362.36,252,,,,,,,,,,,0,0
neg,39596,,124,118,0,0,0,0,0,0,2900,246390,1299286,1016716,115018,5178,1091952,0,0,0,0,0,2474534,2170394,456240,259210,0,0,0,0,280,70,0,0,0,0,0,70264,653652,1266564,695008,0,4222,3852,9462,31756,1511596,1123094,1488,14,0,4,986442,686740,275900,193128,138252,103060,108172,192730,1064,0,2931132,60,66,366,6,1091952,29236,255852,197062,177420,183980,,,,,,,90120,39596.92,2931132,2931132,2928782,15630,724,48126,506560,2685488,1209600,79962,4,40,0,2119444.8,0.0,563431.68,0,0,0,0,0,65608,568260,1377134,629416,41514,3496,60,44,52,2931132,,4224,348,51872,378436,96922,1311632,806872,34766,416,0,176,158,2127512,51436,0,16734,0,8,2136008,2064,172,0,0,0,0,0,0,0,0,16264,38578,14412,0,0,68178,14268,6903740,699616,0,0,0,0,38596910,966.94,952,579726,404912,285434,149766,330296,308426,247428,137066,202610,39824,0,0
neg,9222,,0,,0,0,0,0,0,0,398,307768,235616,2778,0,0,351250,0,110,0,0,0,509070,470482,68266,29254,0,0,0,0,0,0,0,0,0,0,0,8798,361106,91670,84986,0,502,272,250,688,210996,333756,94,2,0,0,168422,112388,40002,29532,25444,25818,40262,75100,28668,924,577442,10,28,98,18,351250,7160,35982,32160,1310700,1310700,1310700,1310700,1310700,1310700,1310700,1310700,67200,9221.42,577442,577442,576450,,36732,57042,576240,546560,1209600,0,,,,495623.04,0.0,50488.32,,,0,0,0,125376,270686,141196,7750,1252,300,0,,0,577442,,432,66,14818,23978,18444,290366,195798,2658,0,0,,,,,,,,,,352,86,0,0,0,0,0,0,0,0,3702,10514,1992,0,0,15700,2534,497880,108356,0,0,0,0,8221420,,,53172,83798,76330,35140,72628,69368,64180,33904,54780,3260,0,0
neg,29832,,1396,1264,0,0,0,0,0,0,2262,129428,1471844,974950,102504,9770,1186328,19904,0,0,0,0,2294642,1866754,1584516,379056,0,0,0,0,7764,794,0,0,0,0,0,918,144070,2386544,159226,0,2726,622,962,166158,1780732,738102,1456,0,0,0,1054902,579218,229240,159364,120604,97482,145948,302224,1776,0,3879570,26,586,394,70,1186328,38416,1220002,356158,418020,598400,469700,,,,,,90700,29831.03,3879570,3879570,3874834,18430,838,21150,244260,2690758,1209600,89288,2,60,0,2038752,0,648559.68,0,0,0,0,0,80484,384390,1385404,797978,38862,3500,140,10,16,3879570,,4882,416,1372,195452,317800,1501536,646308,22872,120,0,1802,2414,2050252,38492,0,638,0,12,2057082,1864,342,0,0,0,0,0,0,0,0,21232,20764,3796,0,0,58844,15606,32220,5534,1059534,202,0,0,274210,884.96,1138,663978,797882,333118,102598,173288,209580,175074,134750,100218,272,0,0
neg,2300,,350,318,0,0,0,0,0,0,7520,120926,8604,0,0,0,58624,0,0,0,0,0,129954,115804,26194,10722,0,0,0,0,190,50,0,0,0,0,0,13662,99714,9544,14130,0,110,28,52,76,20704,116042,38,0,0,0,52778,49818,19878,9636,3960,668,236,76,0,0,156166,20,764,46,0,58624,2030,8018,18142,,,,,,,,,25860,2300.85,156166,156166,157086,510,0,15382,155800,137050,1209600,4888,0,4,0,126076.8,0.0,10866.24,0,0,0,0,0,114268,21414,1096,226,32,14,0,0,4,156166,,176,38,18524,13418,3384,76112,23210,2140,48,0,486,188,125492,44530,0,10,0,36,126776,122,48,0,0,0,0,0,0,0,0,670,1116,330,0,0,3484,566,6120,630,107140,48,0,0,1300930,69.58,76,12204,17856,11298,7788,23100,64312,492,0,0,0,0,0
neg,40792,,9704,,0,0,0,0,0,0,4710,356232,3209742,1521306,168032,534,2322204,0,0,0,0,0,4537494,3921522,1147050,506930,0,0,0,0,2250,354,0,0,0,0,0,1026,5018892,152574,88064,0,3800,1076,1432,54602,3395676,1803584,382,4,0,0,3344586,790564,331698,220268,161632,137112,243108,31588,0,0,5685792,0,56,108,1852,2322204,89050,479688,665258,208080,241640,234360,325880,,,,,126380,40791.56,5685792,5685792,5672894,14662,286598,75822,835580,5260556,1209600,0,,,,3144211.2,0.0,2105977.92,0,0,0,0,0,30004,1143194,2350482,1525158,196018,14726,974,,0,5685792,,8076,1012,8116,1830906,520986,1952784,925622,13050,4,0,,,,,,,,,,5364,188,0,0,0,0,0,0,0,0,42182,20084,4094,0,0,248510,44286,7313680,881446,0,0,0,0,791580,1896.0,2374,2213456,1480838,363804,137640,233570,179746,186598,168328,294154,2422,0,0
neg,39906,,338,292,0,0,0,0,0,0,122,162708,1768582,966988,80602,6878,1254306,0,0,0,0,0,2636388,2270470,452680,319634,0,0,10154,0,1226,302,0,0,0,0,0,10958,433918,1268962,1272042,0,2912,666,1386,246894,2087046,642072,4904,0,0,0,985722,688482,235216,195734,192100,209560,363150,115916,0,0,3089544,44,22,170,16,1254306,38612,231198,220562,155060,209360,,,,,,,83580,39905.31,3089544,3089544,3093686,20793,52,63986,664480,2985880,1209600,117330,2,102,0,2462545.92,0.0,520411.2,0,0,0,0,0,33582,451838,1608494,853434,33754,4388,390,2,6,3089544,,5048,520,169916,229228,144788,1867774,548896,19586,124,0,474,1442,2453276,34412,0,158,0,158,2490780,2020,258,0,0,0,0,0,0,0,0,20598,44318,8634,0,0,120710,22078,149820,45486,0,0,0,0,0,1097.62,1110,543708,691354,374246,185822,369168,280592,218124,136400,179746,6720,0,0
neg,2,,32,24,0,0,0,0,0,0,62,326,3548,0,0,0,3116,0,0,0,0,0,8168,6878,7698,380,0,0,0,0,2,10,0,0,0,0,0,0,0,0,3936,0,1072,30,12,12,126,2684,0,0,0,0,2612,418,136,230,36,40,142,286,26,10,15874,2,2,2,0,3116,118,6632,1050,1310700,1310700,1310700,1310700,1310700,1310700,1310700,1310700,7600,1.2,15874,15874,20210,17,44,1524,15740,3936,1209600,218,0,6,0,1752.96,0,1253.76,,,0,0,0,330,2744,512,350,0,0,0,2,10,15874,,1058,4,20,96,84,568,1872,232,2,0,34,24,1546,108,0,38,0,0,1878,34,32,0,0,0,0,0,0,0,0,112,0,0,966,152,28,22,100,10,19486,14,0,0,0,,,2382,1130,290,30,68,26,8,2,0,0,0,0
neg,58336,,0,,0,0,0,0,0,0,2626,482268,1776130,1017072,26904,1058,1699924,0,200,0,0,0,2870576,2447266,528618,354844,0,0,0,0,0,0,0,0,0,0,0,0,67822,3237252,984,0,3480,482,638,1078,13738,3286588,54,0,0,0,1035644,780436,323444,247084,203286,450568,265596,0,0,0,3400004,0,160,206,156,1699924,54194,256944,270596,197380,171680,,,,,,,151260,58335.87,3400004,3400004,3396764,22865,376990,92138,972940,3306058,1209600,0,,,,3015893.76,0.0,285920.64,0,108,0,0,0,83348,825112,1311692,962424,109418,12496,1568,,0,3400004,,7154,802,113708,162502,95880,1471068,1418016,36438,490,0,,,,,,,,,,2470,62,0,0,0,4,0,0,0,0,30678,72052,14800,0,0,176356,27018,2703740,923052,0,0,0,0,1167110,1591.6,1806,306764,480618,347326,170094,346864,422808,392098,353632,485668,186,0,0
pos,316878,,,,0,0,22320,389178,2417278,5999708,6798616,4368190,1250328,136972,6244,0,7886078,29132,0,,3680500,5544998,13742596,15058918,6021310,1752402,2,0,0,0,17734,6368,0,0,0,0,0,0,0,1055946,20133220,199668,43914,27822,42252,116526,1599574,19558746,0,0,0,0,4133760,6785798,2651504,2088880,1446528,1033870,913262,1102670,682106,550456,23445560,1142,2830,6518,2,7886078,237814,2717536,3284144,343900,588460,498200,510680,369240,221360,202500,311140,116580,316877.33,23445560,23445560,23440630,159604,47794,,443620,21388834,1209600,0,,,,15821626.56,0.0,5555791.68,,,943586,3673982,6147724,6083350,3174880,1210000,132478,19580,3182,72,,0,23445560,,12356,1994,1962756,3040390,3433020,12897782,40536,0,0,0,,,,,,,,,,11334,730,,,,,,,,,178458,136932,43900,794387440,5193112,771988,101064,16892820,2059704,18593208,13348,0,0,,,,5642290,1935912,1306480,711020,1592134,2079102,5699340,2346008,76548,0,0,0
pos,708014,,,,,,0,788,22824,500768,9638996,29240716,32016802,4162678,212656,16534,27929434,334506,0,,408236,995076,55293912,44223876,20871640,11073532,,0,308114,0,,,9845188,9345184,4829820,4904724,3937354,3377682,6263126,20866974,12442710,0,44758,28590,63988,5873770,49017484,20778860,5178,132,0,2,39833822,12198744,6934468,5227130,4172238,3404218,2777274,1187060,74878,2930,76579828,,,,,27929434,1045374,8489096,12331304,520920,515180,504120,488340,418960,363400,358260,328580,113800,708013.13,76579828,76579828,76629778,368441,,,266280,75812762,1209600,,,,,63180264.0,0.0,12600927.36,11776,,1116,39058,740162,12652946,38245768,21670706,2203584,234910,23638,874,,,76579828,,56370,98846,7028260,4479056,21680526,39457136,2996448,16120,0,0,,,,,,,,,,,,,,,,,,,,650650,,,,,,,,,,,,,,0.98,0,13001734,32951366,16797558,4088890,5680676,2350612,657630,179554,104454,288,,
neg,125658,0,394,380,0,0,0,0,0,0,0,0,0,0,0,0,2544956,0,0,0,440398,655014,5355818,5001232,1413200,598698,0,0,0,0,384,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7211018,110,180,41138,24,2544956,77622,354328,1057344,263460,229940,213420,217300,260500,,,,217300,125658.32,7211018,7211018,218,0,76,104474,1149420,0,1209600,165310,6,50,0,5797349.76,0.0,1176199.68,0,0,0,0,0,0,0,0,0,0,0,0,3068,4984,7211018,0,0,0,0,0,0,0,0,0,0,0,528,2032,5877840,3195140,0,4,0,0,5878466,11410,150,0,0,0,0,0,0,0,0,46618,21290,5506,4474512,852136,112782,27136,1680,242,7101882,436,0,0,5658330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg,568,,98,62,0,0,0,0,0,0,118,14340,27880,712,0,0,18392,0,138,0,0,0,55192,48186,17320,3026,0,0,0,0,230,78,0,0,0,0,0,1310,40566,0,1174,0,1356,40,36,56,1238,40322,2,0,0,0,27582,7810,4174,2206,534,482,232,30,0,0,72544,2,0,12,0,18392,788,9430,7812,,,,,,,,,16920,568.28,72544,72544,73654,141,18148,6956,72140,43050,1209600,1782,0,2,0,34454.4,0.0,7316.16,0,24,0,0,0,5510,33150,3728,574,88,0,0,0,4,72544,,1382,32,108,7026,3460,5280,24088,1628,46,0,154,292,17256,24,0,114,0,0,35664,96,156,0,0,0,0,0,0,0,0,448,352,72,0,0,1326,304,52520,12384,46706,302,0,0,0,187.64,92,9312,8188,2810,1444,10648,8006,1522,512,608,0,0,0
neg,29282,,0,,0,0,0,0,0,0,2004,294554,994834,490680,2296,0,898654,0,0,,0,0,1595384,1427844,264176,135672,0,0,0,0,0,0,0,0,0,0,0,8560,259020,946322,570466,0,4332,1726,2658,4054,681712,1089788,98,0,0,0,583738,347260,195582,154486,135130,125720,143600,94224,4622,6,1859816,122,280,56,6,898654,21390,131240,132096,188320,0,0,0,0,0,0,0,72620,29282.08,1859816,1859816,,12483,10922,,646540,,1209600,0,,,,1608734.4,0.0,172435.2,,,0,0,0,93974,754758,876032,49994,7672,1862,76,,0,1859816,,2864,256,76776,71864,114290,1425794,90702,1820,2,0,,,,,,,,,,1020,62,,,,,,,,,11222,30074,5636,0,0,55648,10894,2703480,363710,0,0,0,0,,,,183192,313230,206726,100416,208788,260912,257224,136816,116938,126,0,0
neg,38648,,0,46,0,0,0,0,0,0,208,41668,2590020,628390,5640,0,1167496,0,0,0,0,0,2883296,2536496,485234,292324,0,0,0,0,0,0,0,0,0,0,0,10312,173656,3050334,31624,0,1566,664,1060,9326,1559846,1693366,98,0,0,0,1475740,905568,322612,211466,138144,88622,71548,52226,0,0,3369026,0,0,0,0,1167496,28820,171524,311544,178160,169880,,,,,,,132560,38647.09,3369026,3369026,3355836,13965,0,90934,944300,3265926,1209600,0,2,58,0,2663452.8,0.0,600500.16,0,0,0,0,0,8472,1097982,1981916,164114,11732,1710,0,4,0,3369026,,3994,418,88824,387440,242746,1937178,599772,5432,122,0,72,182,2717880,159792,0,30,0,20,2719456,0,0,0,0,0,0,0,0,0,0,16442,0,0,0,0,0,0,0,0,0,0,0,0,0,951.04,1036,624184,997372,393004,169576,317876,267600,181216,162834,150936,1328,0,0
pos,517566,,,,,,0,0,0,0,66192,7975252,40461750,12912438,759642,20478,23111804,234882,278,,0,0,46201662,38223816,19709456,7673782,,0,1313210,0,,,66298,384076,723006,3650964,8239544,11956932,29111570,7867758,195604,0,852528,738544,898174,987056,3592788,52677270,2449372,16,2,2,29925136,12525556,5245032,4246492,3633044,3136756,2495572,969674,18462,28,65923930,,,,,23111804,1040084,9077304,10582736,334220,314580,298460,280840,271960,259620,266640,327300,110280,517565.91,65923930,65923930,65989402,298347,,,453620,62195752,1209600,,,,,51424931.52,0.0,10729936.32,24050,40786,0,0,6182,483788,17917456,36008126,6990518,572274,95116,122292,,,65923930,,68660,13110,6774992,4683746,9886648,34566024,6086988,115566,18,0,,,,,,,,,,,,,,,,,,,,561946,,,,,,,,,,,,,,29470.64,33632,11139932,31020298,10661418,3321906,3956102,1217588,515170,199942,162696,700,,
neg,60416,,1562,1270,0,0,0,0,0,0,1302,870624,2834382,373956,20930,0,1768898,0,0,0,0,0,3967350,3595364,702386,311926,0,0,0,0,1026,2518,0,0,0,0,0,0,1398920,250386,2451888,0,3048,940,1608,53542,2603844,1437592,620,0,0,0,1516638,1099960,658334,386876,220810,164590,53986,0,0,0,4670334,0,104,396,14,1768898,44878,426650,273672,166780,212600,188140,,,,,,128220,60416.17,4670334,4670334,4681298,20096,550,100420,1033920,4101194,1209600,104726,2,192,0,3324257.28,0.0,773674.56,0,0,0,0,0,81050,1680814,1895602,392328,45054,6122,224,0,6,4670334,,5656,816,60234,597166,205072,2535170,681032,15858,190,0,1478,5686,3355906,103626,0,4196,0,26,3365960,3544,628,0,0,0,0,0,0,0,0,21772,51240,10738,0,0,76926,19240,25200,3268,0,0,0,0,20416180,2090.64,1694,819508,669200,323752,160464,397664,515444,554114,395646,262658,2744,0,0
neg,1460,,98,92,0,0,0,0,0,0,104,60372,32220,452,0,0,38310,0,0,0,0,0,89184,78860,18808,6028,0,0,0,0,146,32,0,0,0,0,0,0,65010,28138,0,0,222,68,104,196,10308,82244,6,0,0,0,37188,43514,8914,2588,646,190,68,40,0,0,108020,20,12,234,0,38310,1134,10100,8624,,,,,,,,,18440,1460.61,108020,108020,110242,293,0,10524,107560,93148,1209600,2480,0,14,0,78618.24,0.0,14405.76,0,0,0,0,0,28010,56932,7440,584,156,26,0,0,4,108020,,260,34,82,5780,2550,15816,65774,2758,94,0,162,198,79888,21346,0,224,0,126,80194,110,46,0,0,0,0,0,0,0,0,646,418,94,0,0,2680,468,1400,148,0,0,0,0,460630,144.34,98,15816,12780,4394,1588,3782,50336,4264,158,30,0,0,0
